Table Names;lat;lon;microtesla
faltante.txt;-1.0128433;-79.4707983;22.133290732
faltante.txt;-1.0128301;-79.4707452;22.450187679
faltante.txt;-1.0128156;-79.4706921;22.763498536
faltante.txt;-1.0128012;-79.4706389;23.071234304
faltante.txt;-1.0127867;-79.4705858;23.374405982
faltante.txt;-1.0127723;-79.4705326;23.673024571
faltante.txt;-1.0127578;-79.4704795;23.967101071
faltante.txt;-1.0127434;-79.4704263;24.256646482
faltante.txt;-1.0127289;-79.4703732;24.541671804
faltante.txt;-1.0127145;-79.47032;24.822188036
faltante.txt;-1.0127;-79.4702669;25.098206179
faltante.txt;-1.0126856;-79.4702137;25.369737232
faltante.txt;-1.0126711;-79.4701606;25.636792196
faltante.txt;-1.0126567;-79.4701074;25.899382071
faltante.txt;-1.0126422;-79.4700543;26.157517857
faltante.txt;-1.0126278;-79.4700011;26.411210554
faltante.txt;-1.0126133;-79.469948;26.660471161
faltante.txt;-1.0125989;-79.4698948;26.905310679
faltante.txt;-1.0125844;-79.4698417;27.145740107
faltante.txt;-1.01257;-79.4697885;27.381770446
faltante.txt;-1.0125555;-79.4697354;27.613412696
faltante.txt;-1.0125411;-79.4696822;27.840677857
faltante.txt;-1.0125266;-79.4696291;28.063576929
faltante.txt;-1.0125122;-79.4695759;28.282120911
faltante.txt;-1.0124977;-79.4695228;28.496320804
faltante.txt;-1.0124833;-79.4694696;28.706187607
faltante.txt;-1.0124688;-79.4694165;28.911732321
faltante.txt;-1.0124544;-79.4693633;29.112965946
faltante.txt;-1.0124399;-79.4693102;29.309899482
faltante.txt;-1.0124255;-79.469257;29.502543929
faltante.txt;-1.012411;-79.4692039;29.690910286
faltante.txt;-1.0123966;-79.4691507;29.875009554
faltante.txt;-1.0123821;-79.4690976;30.054852732
faltante.txt;-1.0123677;-79.4690444;30.230450821
faltante.txt;-1.0123532;-79.4689913;30.401814821
faltante.txt;-1.0123388;-79.4689381;30.568955732
faltante.txt;-1.0123243;-79.468885;30.731884554
faltante.txt;-1.0123099;-79.4688318;30.890612286
faltante.txt;-1.0122954;-79.4687787;31.045149929
