Second,microtesla
0.1,24.379305
0.2,24.379305
0.3,29.735691
0.4,29.735691
0.5,29.735691
0.6,30.425518
0.7,30.425518
0.8,30.425518
0.9,30.69505
1.0,30.69505
1.1,30.69505
1.2,31.24763
1.3,31.24763
1.4,31.24763
1.5,31.135496
1.6,31.135496
1.7,31.135496
1.8,30.462515
1.9,30.462515
2.0,30.462515
2.1,30.425497
2.2,30.425497
2.3,30.425497
2.4,30.467762
2.5,30.467762
2.6,30.467762
2.7,30.453665
2.8,30.453665
2.9,30.453665
3.0,31.556831
3.1,31.556831
3.2,31.556831
3.3,32.03401
3.4,32.03401
3.5,32.03401
3.6,31.521826
3.7,31.521826
3.8,31.521826
3.9,30.962343
4.0,30.962343
4.1,30.962343
4.2,31.038506
4.3,31.038506
4.4,31.038506
4.5,31.103788
4.6,31.103788
4.7,31.103788
4.8,31.143911
4.9,31.143911
5.0,31.143911
5.1,31.626705
5.2,31.626705
5.3,31.626705
5.4,31.183905
5.5,31.183905
5.6,31.183905
5.7,31.19085
5.8,31.19085
5.9,31.19085
6.0,30.94493
6.1,30.94493
6.2,30.94493
6.3,31.130346
6.4,31.130346
6.5,31.130346
6.6,31.119831
6.7,31.119831
6.8,31.119831
6.9,30.726686
7.0,30.726686
7.1,30.726686
7.2,31.264177
7.3,31.264177
7.4,31.264177
7.5,31.812323
7.6,31.812323
7.7,31.812323
7.8,31.772585
7.9,31.772585
8.0,31.772585
8.1,31.633413
8.2,31.633413
8.3,31.633413
8.4,31.978342
8.5,31.978342
8.6,31.978342
8.7,31.843206
8.8,31.843206
8.9,31.843206
9.0,31.24184
9.1,31.24184
9.2,31.24184
9.3,31.54246
9.4,31.54246
9.5,31.54246
9.6,31.052723
9.7,31.052723
9.8,31.052723
9.9,31.102375
10.0,31.102375
10.1,31.102375
10.2,31.459816
10.3,31.459816
10.4,31.459816
10.5,30.800999
10.6,30.800999
10.7,30.800999
10.8,30.702461
10.9,30.702461
11.0,30.702461
11.1,31.1653
11.2,31.1653
11.3,31.1653
11.4,31.178564
11.5,31.178564
11.6,31.178564
11.7,30.805002
11.8,30.805002
11.9,30.805002
12.0,31.05169
12.1,31.05169
12.2,31.05169
12.3,31.488125
12.4,31.488125
12.5,31.488125
12.6,31.398855
12.7,31.398855
12.8,31.398855
12.9,31.62354
13.0,31.62354
13.1,31.62354
13.2,31.237688
13.3,31.237688
13.4,31.237688
13.5,31.292728
13.6,31.292728
13.7,31.292728
13.8,30.958675
13.9,30.958675
14.0,30.958675
14.1,30.948887
14.2,30.948887
14.3,30.948887
14.4,31.271784
14.5,31.271784
14.6,31.271784
14.7,31.24337
14.8,31.24337
14.9,31.24337
15.0,30.710104
15.1,30.710104
15.2,30.710104
15.3,30.285892
15.4,30.285892
15.5,30.285892
15.6,29.894817
15.7,29.894817
15.8,29.894817
15.9,29.674484
16.0,29.674484
16.1,29.674484
16.2,30.163471
16.3,30.163471
16.4,30.163471
16.5,30.33249
16.6,30.33249
16.7,30.33249
16.8,30.450441
16.9,30.450441
17.0,30.450441
17.1,30.478474
17.2,30.478474
17.3,30.478474
17.4,30.424623
17.5,30.424623
17.6,30.424623
17.7,29.981424
17.8,29.981424
17.9,29.981424
18.0,30.474499
18.1,30.474499
18.2,30.474499
18.3,30.71344
18.4,30.71344
18.5,30.71344
18.6,30.511879
18.7,30.511879
18.8,30.448406
18.9,30.540316
19.0,30.540316
19.1,30.540316
19.2,31.231077
19.3,31.231077
19.4,31.231077
19.5,31.08708
19.6,31.08708
19.7,31.08708
19.8,31.006054
19.9,31.006054
20.0,31.006054
20.1,31.29993
20.2,31.29993
20.3,31.29993
20.4,31.91633
20.5,31.91633
20.6,31.91633
20.7,31.990751
20.8,31.990751
20.9,31.990751
21.0,31.443485
21.1,31.443485
21.2,31.443485
21.3,30.62885
21.4,30.62885
21.5,30.62885
21.6,31.08505
21.7,31.08505
21.8,31.08505
21.9,31.477549
22.0,31.477549
22.1,31.477549
22.2,30.91426
22.3,30.91426
22.4,30.91426
22.5,31.059277
22.6,31.059277
22.7,31.059277
22.8,31.228605
22.9,31.228605
23.0,31.228605
23.1,31.40645
23.2,31.40645
23.3,31.40645
23.4,31.222738
23.5,31.222738
23.6,31.222738
23.7,31.267267
23.8,31.267267
23.9,31.267267
24.0,31.90847
24.1,31.90847
24.2,31.90847
24.3,31.998726
24.4,31.998726
24.5,31.998726
24.6,32.062866
24.7,32.062866
24.8,32.062866
24.9,32.45891
25.0,32.45891
25.1,32.45891
25.2,32.29522
25.3,32.29522
25.4,32.29522
25.5,31.67326
25.6,31.67326
25.7,31.67326
25.8,31.28138
25.9,31.28138
26.0,31.28138
26.1,31.001749
26.2,31.001749
26.3,31.001749
26.4,31.153343
26.5,31.153343
26.6,31.153343
26.7,31.855984
26.8,31.855984
26.9,31.855984
27.0,31.954641
27.1,31.954641
27.2,31.954641
27.3,31.567558
27.4,31.567558
27.5,31.567558
27.6,31.380016
27.7,31.39736
27.8,31.39736
27.9,31.579363
28.0,31.579363
28.1,31.579363
28.2,31.33572
28.3,31.33572
28.4,31.33572
28.5,30.633802
28.6,30.633802
28.7,30.633802
28.8,30.016804
28.9,30.016804
29.0,30.016804
29.1,30.639023
29.2,30.639023
29.3,30.639023
29.4,30.817314
29.5,30.817314
29.6,30.817314
29.7,30.733618
29.8,30.733618
29.9,30.733618
30.0,30.038246
30.1,30.038246
30.2,30.038246
30.3,30.047745
30.4,30.047745
30.5,30.047745
30.6,29.892328
30.7,29.892328
30.8,29.892328
30.9,29.827026
31.0,29.827026
31.1,29.827026
31.2,30.931213
31.3,30.931213
31.4,30.931213
31.5,31.280201
31.6,31.280201
31.7,31.280201
31.8,31.093037
31.9,31.093037
32.0,31.093037
32.1,30.722141
32.2,30.722141
32.3,30.722141
32.4,30.171427
32.5,30.171427
32.6,30.171427
32.7,30.68249
32.8,30.68249
32.9,31.137547
33.0,31.409159
33.1,31.409159
33.2,31.409159
33.3,30.78649
33.4,30.78649
33.5,30.78649
33.6,30.693651
33.7,30.693651
33.8,30.693651
33.9,30.453674
34.0,30.453674
34.1,30.453674
34.2,30.044092
34.3,30.044092
34.4,30.044092
34.5,30.043255
34.6,30.043255
34.7,30.043255
34.8,30.989653
34.9,30.989653
35.0,30.989653
35.1,31.386358
35.2,31.386358
35.3,31.386358
35.4,31.287828
35.5,31.287828
35.6,31.287828
35.7,31.25163
35.8,31.25163
35.9,31.25163
36.0,31.24824
36.1,31.24824
36.2,31.24824
36.3,30.803892
36.4,30.803892
36.5,30.803892
36.6,30.612505
36.7,30.612505
36.8,30.612505
36.9,30.075695
37.0,30.075695
37.1,30.075695
37.2,30.438753
37.3,30.438753
37.4,30.438753
37.5,30.958223
37.6,30.958223
37.7,30.958223
37.8,31.116438
37.9,31.116438
38.0,31.116438
38.1,30.751657
38.2,30.751657
38.3,30.751657
38.4,30.357132
38.5,30.357132
38.6,30.357132
38.7,30.280443
38.8,30.280443
38.9,30.280443
39.0,30.315483
39.1,30.315483
39.2,30.315483
39.3,30.431444
39.4,30.431444
39.5,30.431444
39.6,30.548351
39.7,30.548351
39.8,30.548351
39.9,30.446703
40.0,30.446703
40.1,30.446703
40.2,30.133366
40.3,30.133366
40.4,30.133366
40.5,29.936115
40.6,29.936115
40.7,29.936115
40.8,30.184229
40.9,30.184229
41.0,30.184229
41.1,29.978888
41.2,29.978888
41.3,29.978888
41.4,29.602964
41.5,29.602964
41.6,29.602964
41.7,29.194752
41.8,29.072403
41.9,29.072403
42.0,29.078447
42.1,29.078447
42.2,29.078447
42.3,29.672855
42.4,29.672855
42.5,29.672855
42.6,29.708538
42.7,29.708538
42.8,29.708538
42.9,29.656677
43.0,29.656677
43.1,29.656677
43.2,29.991909
43.3,30.245667
43.4,30.245667
43.5,30.186728
43.6,30.186728
43.7,30.186728
43.8,29.749401
43.9,29.440954
44.0,29.440954
44.1,29.187063
44.2,29.187063
44.3,29.187063
44.4,29.564306
44.5,29.564306
44.6,29.564306
44.7,29.575928
44.8,29.575928
44.9,29.575928
45.0,29.294296
45.1,29.294296
45.2,29.294296
45.3,29.198595
45.4,29.198595
45.5,29.21371
45.6,29.257763
45.7,29.257763
45.8,29.257763
45.9,29.678715
46.0,29.678715
46.1,29.678715
46.2,29.556732
46.3,29.556732
46.4,29.556732
46.5,29.192213
46.6,29.192213
46.7,29.192213
46.8,29.562004
46.9,29.562004
47.0,29.668575
47.1,29.638607
47.2,29.638607
47.3,29.638607
47.4,29.551813
47.5,29.551813
47.6,29.558123
47.7,29.360283
47.8,29.360283
47.9,29.366783
48.0,29.470943
48.1,29.470943
48.2,29.37009
48.3,29.468363
48.4,29.468363
48.5,29.419664
48.6,29.42276
48.7,29.42276
48.8,29.42276
48.9,29.211746
49.0,29.211746
49.1,29.214937
49.2,29.083189
49.3,29.083189
49.4,29.024937
49.5,29.158062
49.6,29.158062
49.7,29.213326
49.8,29.658773
49.9,29.658773
50.0,29.643808
50.1,29.862265
50.2,29.862265
50.3,29.862265
50.4,29.579905
50.5,29.579905
50.6,29.751568
50.7,29.818909
50.8,29.818909
50.9,30.06048
51.0,30.218407
51.1,30.218407
51.2,30.218407
51.3,30.100813
51.4,30.100813
51.5,30.056255
51.6,29.523766
51.7,29.523766
51.8,29.523766
51.9,29.29872
52.0,29.29872
52.1,29.464272
52.2,30.03763
52.3,30.03763
52.4,30.035238
52.5,29.812218
52.6,29.812218
52.7,29.812218
52.8,29.737478
52.9,29.737478
53.0,29.844252
53.1,29.861887
53.2,29.861887
53.3,29.861887
53.4,30.415575
53.5,30.415575
53.6,30.415575
53.7,30.637707
53.8,30.637707
53.9,30.52147
54.0,30.219479
54.1,30.219479
54.2,30.219479
54.3,30.07367
54.4,30.07367
54.5,29.803
54.6,29.823029
54.7,29.823029
54.8,29.961834
54.9,30.122274
55.0,30.122274
55.1,30.09602
55.2,30.308329
55.3,30.308329
55.4,30.412775
55.5,30.32429
55.6,30.003187
55.7,30.003187
55.8,29.24761
55.9,29.24761
56.0,28.999676
56.1,28.878325
56.2,28.878325
56.3,28.878325
56.4,28.982157
56.5,28.982157
56.6,29.198668
56.7,29.713469
56.8,29.713469
56.9,29.82499
57.0,29.929811
57.1,29.929811
57.2,30.154797
57.3,30.304926
57.4,30.304926
57.5,30.237726
57.6,29.982576
57.7,29.982576
57.8,29.982576
57.9,29.961721
58.0,29.961721
58.1,29.981745
58.2,30.339788
58.3,30.339788
58.4,30.607178
58.5,30.651995
58.6,30.747515
58.7,30.747515
58.8,30.831991
58.9,30.831991
59.0,31.027277
59.1,31.615881
59.2,31.615881
59.3,31.615881
59.4,31.89808
59.5,31.798553
59.6,31.798553
59.7,31.370056
59.8,31.370056
59.9,31.370056
60.0,31.0593
60.1,31.256258
60.2,31.256258
60.3,31.61719
60.4,31.61719
60.5,31.61719
60.6,32.230644
60.7,32.230644
60.8,32.230644
60.9,32.198845
61.0,32.198845
61.1,32.198845
61.2,31.862595
61.3,31.862595
61.4,31.862595
61.5,32.039917
61.6,32.039917
61.7,32.039917
61.8,32.01852
61.9,32.01852
62.0,32.01852
62.1,32.048615
62.2,32.048615
62.3,32.048615
62.4,31.879793
62.5,31.879793
62.6,31.879793
62.7,31.83798
62.8,31.83798
62.9,31.83798
63.0,31.74239
63.1,31.74239
63.2,31.74239
63.3,32.034912
63.4,32.034912
63.5,32.034912
63.6,32.21063
63.7,32.21063
63.8,32.21063
63.9,32.63351
64.0,32.63351
64.1,32.63351
64.2,32.39814
64.3,32.39814
64.4,32.39814
64.5,32.029224
64.6,32.029224
64.7,32.029224
64.8,31.860674
64.9,31.860674
65.0,31.860674
65.1,31.946545
65.2,31.946545
65.3,31.946545
65.4,31.958925
65.5,31.958925
65.6,31.958925
65.7,31.947216
65.8,31.947216
65.9,31.947216
66.0,31.284958
