lat;lon
-1.0130488;-79.4681849
-1.0130326;-79.4681462
-1.0129943;-79.4681132
-1.012963;-79.4680856
-1.0129568;-79.4680493
-1.0129324;-79.4680094
-1.0128916;-79.4679778
-1.0128724;-79.467969
-1.012861;-79.4679346
-1.0128184;-79.4679273
-1.0127819;-79.4679161
-1.0127511;-79.4678915
-1.0127263;-79.4678685
-1.0126844;-79.4678459
-1.0126722;-79.4678217
-1.0126609;-79.4677942
-1.0126526;-79.4677699
-1.0126582;-79.4677221
-1.0126683;-79.467674
-1.0126851;-79.46764
-1.0126991;-79.4675951
-1.012703;-79.4675478
-1.0127137;-79.4675028
-1.0127023;-79.4674715
-1.0127077;-79.4674261
-1.0127172;-79.4673784
-1.0126894;-79.4673364
-1.0126433;-79.4673246
-1.012599;-79.4673391
-1.0125826;-79.4673631
-1.0125806;-79.467395
-1.0125934;-79.4674487
-1.0126031;-79.4674902
-1.0126119;-79.4675269
-1.0125964;-79.4675662
-1.0126175;-79.4676096
-1.0126193;-79.4676471
-1.0125814;-79.4676872
-1.0125543;-79.4677268
-1.0125208;-79.4677638
-1.012495;-79.4678089
-1.0124858;-79.4678449
-1.0124853;-79.4678823
-1.012518;-79.4679476
-1.0125423;-79.4679943
-1.0125571;-79.4680337
-1.0125569;-79.4680774
-1.0125678;-79.4681232
-1.0125529;-79.4681674
-1.0125493;-79.4682077
-1.0125578;-79.4682014
-1.0125742;-79.4682129
-1.0125691;-79.4682117
-1.0125707;-79.4682089
-1.0125748;-79.4682153
-1.0125789;-79.4682366
-1.0125938;-79.4682999
-1.0125672;-79.4683516
-1.0125678;-79.4683968
-1.0125846;-79.4684436
-1.0125894;-79.4684923
-1.0125872;-79.4685423
-1.0125821;-79.4685827
-1.0125825;-79.4686249
-1.0125573;-79.4686559
-1.0125267;-79.4686519
-1.0124947;-79.4686885
-1.0124868;-79.4687332
-1.0124823;-79.4687805
-1.0124645;-79.4688304
-1.0124434;-79.4688763
-1.0124137;-79.4689173
-1.0124149;-79.4689752
-1.0124025;-79.469011
-1.0123916;-79.4690443
-1.01241;-79.4690812
-1.0124164;-79.4691235
-1.0124078;-79.4691773
-1.0124306;-79.4692231
-1.0124122;-79.4692698
-1.0123967;-79.4693055
-1.0123955;-79.4693429
-1.0123763;-79.4693868
-1.0123895;-79.469432
-1.0123982;-79.4694786
-1.0123836;-79.4695218
-1.0123724;-79.4695623
-1.0123818;-79.469587
-1.012388;-79.4695978
-1.012396;-79.4695944
-1.0123959;-79.4695783
-1.0124001;-79.4695563
-1.0123988;-79.4695524
-1.012404;-79.4695552
-1.0124041;-79.4695582
-1.0124071;-79.469561
-1.0124117;-79.4695495
-1.0124042;-79.4695686
-1.0124038;-79.4695606
-1.0124025;-79.4695589
-1.0124081;-79.469556
-1.0124172;-79.4695539
-1.0124064;-79.4695574
-1.0123634;-79.4695569
-1.0122976;-79.4695661
-1.0122865;-79.4695716
-1.0123293;-79.4695756
-1.0123225;-79.469572
-1.0123163;-79.4695988
-1.0123193;-79.4696547
-1.0123458;-79.4697217
-1.0123378;-79.4697679
-1.0123652;-79.4698097
-1.0123947;-79.4698473
-1.0124216;-79.4698946
-1.0124141;-79.4699505
-1.0123928;-79.4700248
-1.0123824;-79.470072
-1.0123849;-79.4701048
-1.0123968;-79.470135
-1.0124062;-79.4701744
-1.0123978;-79.4702227
-1.0123894;-79.4702641
-1.0123959;-79.4703
-1.0123948;-79.470336
-1.0123898;-79.4703676
-1.0123709;-79.4704145
-1.012366;-79.4704609
-1.01237;-79.4705001
-1.0123942;-79.4705609
-1.0124027;-79.4706006
-1.0123753;-79.4706475
-1.0123639;-79.4706919
-1.0123721;-79.4707358
-1.0123871;-79.4707756
-1.0124043;-79.4708181
-1.012415;-79.4708679
-1.0124066;-79.4708826
-1.0124177;-79.4709356
-1.012418;-79.4709786
-1.0124116;-79.4710442
-1.0123972;-79.4710889
-1.0123882;-79.4711365
-1.0123875;-79.4711824
-1.012372;-79.4712155
-1.0123603;-79.4712214
-1.0123547;-79.4712353
-1.0123322;-79.4712676
-1.012339;-79.4712766
-1.0123401;-79.4713237
-1.0123376;-79.4713737
-1.0123289;-79.4714051
-1.0123244;-79.4714668
-1.0123498;-79.4715164
-1.0123772;-79.4715334
-1.0124037;-79.4715449
-1.0123524;-79.471576
-1.0124074;-79.4715644
-1.0124813;-79.4715468
-1.0125414;-79.4715324
-1.0125723;-79.4715098
-1.0125837;-79.4714686
-1.0125954;-79.4714337
-1.0126604;-79.471484
-1.0127046;-79.4714316
-1.0127059;-79.4713983
-1.0127187;-79.4713564
-1.0127054;-79.4712998
-1.0127013;-79.4712496
-1.0126135;-79.4712097
-1.0125496;-79.4711926
-1.0125029;-79.4711555
-1.0124902;-79.4710801
-1.0124864;-79.4710257
-1.0124847;-79.4709727
-1.0124887;-79.4709256
-1.0125096;-79.4708904
-1.0125611;-79.4708925
-1.0126531;-79.4709358
-1.0126899;-79.4709493
-1.0127269;-79.470954
-1.0127542;-79.4710182
-1.0127864;-79.471012
-1.0128218;-79.4710197
-1.0128134;-79.4709092
-1.0128109;-79.4708583
-1.0128003;-79.470817
-1.0127889;-79.4707944
-1.0127634;-79.4707726
-1.0127715;-79.4707863
-1.0127712;-79.4707835
-1.0127776;-79.4707902
-1.0127982;-79.4708182
-1.0127983;-79.4708183
-1.0127983;-79.4708183
-1.0128399;-79.4707999
-1.0128432;-79.4707984
-1.0128433;-79.4707983
-1.0128433;-79.4707983
-1.0128433;-79.4707983
