sim,radiotype,radio,mcc,mnc,area,cellid,unit,lat,lon,signal,extra,acc,time,speed,bearing,alt,api,device
2,LTE,LTE,740,1,60414,51363359,59,-1.0130488,-79.4681849,-105,,5.6,1753454519571,1.1,106.6,97.4,31,Xiaomi_M2003J15SC
2,LTE,LTE,740,1,60414,51363339,2147483647,-1.0130326,-79.4681462,-107,,5.7,1753454524334,1.0,54.5,97.4,31,Xiaomi_M2003J15SC
2,LTE,LTE,740,1,60414,51363339,2147483647,-1.0129943,-79.4681132,-106,,6.1,1753454529077,1.0,48.3,97.9,31,Xiaomi_M2003J15SC
2,LTE,LTE,740,1,60414,51363339,2147483647,-1.012963,-79.4680856,-105,,5.9,1753454534192,0.9,69.8,97.9,31,Xiaomi_M2003J15SC
2,LTE,LTE,740,1,60414,51363339,2147483647,-1.0129568,-79.4680493,-105,,5.8,1753454538934,1.0,73.5,97.9,31,Xiaomi_M2003J15SC
2,LTE,LTE,740,1,60414,51363339,2147483647,-1.0129324,-79.4680094,-100,,6.1,1753454543657,1.1,52.5,97.9,31,Xiaomi_M2003J15SC
2,LTE,LTE,740,1,60414,51363339,2147483647,-1.0128916,-79.4679778,-104,,6.4,1753454548670,1.1,55.4,98.0,31,Xiaomi_M2003J15SC
2,LTE,LTE,740,1,60414,51363339,2147483647,-1.0128724,-79.467969,-104,,5.8,1753454553575,1.0,81.1,98.0,31,Xiaomi_M2003J15SC
2,LTE,LTE,740,1,60414,51363339,2147483647,-1.012861,-79.4679346,-97,,4.5,1753454558378,0.9,45.5,97.9,31,Xiaomi_M2003J15SC
2,LTE,LTE,740,1,60414,51363339,2147483647,-1.0128184,-79.4679273,-97,,5.2,1753454563411,1.0,10.5,97.9,31,Xiaomi_M2003J15SC
2,LTE,LTE,740,1,60414,51363339,2147483647,-1.0127819,-79.4679161,-105,,5.5,1753454568275,1.0,23.2,98.0,31,Xiaomi_M2003J15SC
2,LTE,LTE,740,1,60414,51363339,2147483647,-1.0127511,-79.4678915,-101,,5.6,1753454573265,1.0,81.2,98.0,31,Xiaomi_M2003J15SC
2,LTE,LTE,740,1,60414,51363339,2147483647,-1.0127263,-79.4678685,-106,,5.6,1753454578231,1.0,23.9,98.0,31,Xiaomi_M2003J15SC
2,LTE,LTE,740,1,60414,51363339,2147483647,-1.0126844,-79.4678459,-102,,6.0,1753454584059,0.9,50.5,98.0,31,Xiaomi_M2003J15SC
2,LTE,LTE,740,1,60414,51363339,2147483647,-1.0126722,-79.4678217,-101,,6.0,1753454588572,0.9,85.1,98.0,31,Xiaomi_M2003J15SC
2,LTE,LTE,740,1,60414,51363339,2147483647,-1.0126609,-79.4677942,-98,,6.0,1753454593314,0.8,48.5,98.0,31,Xiaomi_M2003J15SC
