Años_Experiencia,Salario_Anual
14.7,62416.48
8.5,66842.91
20.3,96841.04
8.8,40396.37
17.1,77904.38
15.1,72743.17
6.4,56055.07
29.3,105731.95
12.5,59608.81
14.1,68467.35
5.7,45501.01
10.2,67360.8
7.1,55780.85
13.2,70816.09
4.6,37726.26
3.8,44385.54
29.3,123741.12
0.7,43492.47
15.4,65058.0
0.3,30533.95
27.0,109431.2
9.5,70748.56
14.0,80094.87
23.9,97202.97
3.0,48689.31
21.6,92870.43
5.2,45599.43
2.1,47020.04
6.6,60347.87
24.3,97676.92
9.9,59197.16
29.3,107110.94
0.2,27428.36
3.0,53025.23
5.0,59767.37
22.6,105272.49
16.4,76250.3
28.3,110102.12
17.2,69187.09
19.6,92316.44
6.4,47889.03
5.8,49445.61
21.0,81706.99
3.0,45101.23
13.3,81750.41
25.1,96648.78
12.1,64531.39
11.1,62040.32
19.3,105223.74
5.3,45680.8
18.8,83200.97
24.1,109792.21
11.9,49848.64
3.9,40070.44
20.7,75246.21
17.7,72536.55
10.9,62107.31
5.6,51752.38
27.3,104027.91
20.6,87021.62
15.4,83672.29
5.1,42550.31
0.8,27416.34
24.1,89838.04
26.2,89626.58
7.2,64804.14
5.3,38837.45
10.7,71020.77
4.4,46216.26
18.7,79678.66
11.2,61835.12
24.6,95926.85
20.3,82083.04
18.2,79767.84
15.0,81215.09
25.1,96018.55
12.0,63552.16
10.1,51352.94
10.3,57672.51
21.9,97255.45
17.1,73920.92
8.9,52217.13
17.6,80143.25
27.8,111549.14
2.7,25587.96
12.4,60124.47
0.3,42853.81
18.3,75971.07
13.6,65296.65
11.4,64145.78
15.8,62115.3
4.2,42888.48
13.4,68013.24
10.2,60939.67
9.1,72971.76
21.9,77610.26
18.1,80740.81
10.2,63624.65
14.8,75059.29
25.0,99862.79
16.0,80569.57
16.0,67131.47
29.1,106619.25
21.6,88762.89
10.8,68494.23
1.0,34868.7
4.6,61404.29
23.6,83454.76
18.3,91361.19
18.0,73970.29
1.2,41624.51
14.0,91206.34
16.5,76944.11
0.3,33845.54
18.4,89496.98
19.8,81251.0
28.3,115392.26
6.6,48669.31
17.3,91049.76
7.1,55903.23
9.5,70181.14
21.2,85913.34
2.7,36682.03
8.6,69530.39
24.2,94659.21
4.0,32420.01
28.6,107129.12
24.7,98477.38
22.8,87215.07
3.7,36910.8
24.0,83961.06
27.9,95499.3
13.5,59879.84
0.2,48427.26
1.1,42249.04
11.0,64520.86
14.9,70948.05
11.1,60671.46
26.8,122869.22
27.2,99246.87
12.1,66713.01
8.8,69531.65
7.4,56112.6
0.9,39766.85
12.7,73052.16
23.5,84745.37
25.4,91682.75
2.3,42938.24
27.1,99644.94
11.9,63208.49
5.9,61370.86
7.9,65990.7
3.5,57533.5
12.2,61669.07
4.2,35420.15
21.0,98955.43
12.6,59975.5
13.8,70250.23
16.5,74409.46
19.8,89604.15
24.7,96728.01
13.7,67259.21
9.0,67838.48
26.1,88371.28
29.9,120362.18
25.1,91455.15
13.2,68900.57
23.7,89650.77
21.5,93976.57
4.8,36062.56
0.4,29182.84
10.8,58949.05
20.8,80090.4
9.9,55814.21
25.3,88616.16
10.8,41502.97
6.8,48603.17
26.2,106588.26
15.6,79875.5
9.1,70875.56
7.5,38654.49
16.6,80982.11
2.2,50319.29
17.5,77040.8
21.1,87913.01
24.7,97986.54
4.8,39898.82
10.2,54571.03
14.1,78602.34
18.3,90616.96
29.4,105954.01
6.7,46424.74
9.8,54673.05
17.3,88299.97
3.3,51462.86
1.3,39921.81
22.7,86555.67
8.2,68723.76
7.1,49274.01
23.5,98295.43
28.4,102398.64
0.1,32345.94
15.1,73411.03
29.0,113822.57
21.8,84733.6
24.5,95576.65
22.0,88479.87
8.9,54862.03
12.1,60974.55
4.8,60284.04
14.6,57831.73
4.0,59325.3
18.0,76206.29
1.5,38745.18
8.3,47742.39
23.4,96417.72
4.6,28765.98
4.8,41183.37
19.9,68790.09
4.3,37684.27
16.7,68640.07
3.7,44255.21
21.7,76543.69
1.6,47553.61
2.5,48028.72
24.3,71596.02
18.7,98049.21
14.2,52592.12
7.8,59865.77
2.0,25222.68
11.0,61096.66
9.7,62435.38
25.4,102420.02
29.5,113150.29
16.1,70152.25
7.8,48584.5
19.2,73386.54
1.5,25575.36
7.6,69430.0
23.6,85258.99
3.7,40846.12
8.0,49343.26
2.9,29675.54
22.6,87949.83
6.0,37840.96
14.8,66783.85
2.9,48490.96
8.1,44608.79
6.7,52478.76
20.9,100948.17
23.7,101324.53
12.1,81469.66
23.9,92619.14
29.4,104731.32
24.8,109530.78
19.9,70798.95
27.2,98769.24
14.9,81935.71
16.9,81014.66
10.9,65324.95
22.5,110375.72
26.6,99967.43
0.6,42269.59
20.9,67248.41
9.7,63912.15
4.2,46061.32
15.1,65167.56
9.3,52629.45
7.6,61957.21
15.4,79707.74
4.2,45220.08
26.8,97799.91
28.8,114638.81
6.7,49562.02
13.7,62535.27
18.3,89019.89
14.0,81275.9
26.2,95860.77
9.0,47958.77
24.5,98972.86
20.1,77705.01
7.4,57184.51
29.8,101877.11
16.5,80353.62
18.9,79332.29
22.3,81567.09
19.3,71616.85
11.2,55315.39
21.1,83508.94
14.9,73646.26
2.0,58701.53
5.0,57705.43
23.6,90515.37
21.9,87085.73
1.4,38381.31
20.1,82044.95
15.1,79641.62
26.9,109507.64
16.7,69838.75
29.3,117976.24
9.2,59951.4
24.6,95414.59
11.0,60053.34
29.0,115485.28
7.2,41950.11
23.4,94366.16
27.0,98811.4
5.3,51485.42
5.8,42497.64
0.1,27443.56
6.1,49364.78
27.1,95043.14
2.5,46021.85
20.2,84435.65
2.3,40693.3
28.6,112319.15
24.1,100246.43
5.2,57694.1
16.2,75597.74
11.6,63763.97
16.5,76713.48
12.1,64423.39
26.1,91682.19
4.0,39144.6
16.1,69908.64
10.5,60600.44
10.3,60895.86
1.5,29477.81
1.5,31188.03
16.9,85069.46
16.1,71858.3
2.3,41847.3
13.8,74748.5
25.9,86670.91
8.0,51104.11
12.6,70264.59
29.1,113928.11
2.1,43795.71
10.8,47063.12
7.4,49691.8
20.1,83272.98
11.2,63849.32
29.2,102450.24
29.4,110181.33
10.3,55089.57
15.3,71911.25
26.4,100960.83
24.7,109334.82
27.4,102657.18
26.4,106202.94
19.0,97564.16
24.7,105302.98
13.3,70196.54
8.2,69067.84
12.0,67644.99
13.8,70393.48
0.4,28972.15
27.1,118379.86
14.7,82183.36
24.3,93141.11
25.4,108057.73
15.1,82816.52
17.8,84095.13
21.4,78834.87
13.6,96945.86
11.4,56002.14
14.8,75719.32
3.9,30899.87
11.2,54284.41
13.3,69702.84
15.7,99195.35
3.5,45036.85
29.7,107333.9
12.8,65851.25
17.4,70583.46
8.4,49993.84
14.9,76728.96
13.6,55481.48
22.7,82431.49
14.1,72296.4
10.4,60175.09
1.6,50061.03
7.2,55297.04
